 De 4 ate 76,  custa: 34
 De 33 ate 47,  custa: 39
 De 4 ate 77,  custa: 23
 De 33 ate 48,  custa: 33
 De 4 ate 78,  custa: 29
 De 33 ate 49,  custa: 38
 De 33 ate 50,  custa: 34
 De 4 ate 79,  custa: inf
 De 4 ate 80,  custa: 32
 De 33 ate 51,  custa: inf
 De 4 ate 81,  custa: 23
 De 33 ate 52,  custa: 41
 De 4 ate 82,  custa: 34
 De 4 ate 83,  custa: 25
 De 33 ate 53,  custa: inf
 De 4 ate 84,  custa: 21
 De 33 ate 54,  custa: 19
 De 4 ate 85,  custa: 29
 De 33 ate 55,  custa: inf
 De 4 ate 86,  custa: 32
 De 33 ate 56,  custa: 66
 De 4 ate 87,  custa: 33
 De 4 ate 88,  custa: 16
 De 33 ate 57,  custa: inf
 De 33 ate 58,  custa: 20
 De 4 ate 89,  custa: inf
 De 8 ate 50,  custa: inf
 De 33 ate 59,  custa: 27
 De 4 ate 90,  custa: inf
 De 4 ate 91,  custa: 37
 De 33 ate 60,  custa: inf
 De 0 ate 1,  custa: inf
 De 33 ate 61,  custa: 34
 De 4 ate 92,  custa: inf
 De 4 ate 93,  custa: 39
 De 33 ate 62,  custa: inf
 De 33 ate 63,  custa: 37
 De 33 ate 64,  custa: 20
 De 33 ate 65,  custa: 25
 De 4 ate 94,  custa: inf
 De 4 ate 95,  custa: 3
 De 4 ate 96,  custa: 39
 De 33 ate 66,  custa: inf
 De 33 ate 67,  custa: 24
 De 4 ate 97,  custa: inf
 De 4 ate 98,  custa: 40
 De 33 ate 68,  custa: inf
 De 33 ate 69,  custa: 40
 De 4 ate 99,  custa: inf
 De 33 ate 70,  custa: 35
 De 5 ate 0,  custa: 41
 De 33 ate 71,  custa: 27
 De 5 ate 1,  custa: 32
 De 8 ate 51,  custa: 20
 De 33 ate 72,  custa: 22
 De 5 ate 2,  custa: 38
 De 5 ate 3,  custa: 11
 De 33 ate 73,  custa: 65
 De 33 ate 74,  custa: 22
 ate 3,  custa: 30
 De 64 ate 10,  custa: 16
 De 72 ate 18,  custa: 19
 De 68 ate 13,  custa: 12
 De 80 ate 14,  custa: inf
 De 80 ate 15,  custa: 23
 De 68 ate 14,  custa: inf
 De 16 ate 4,  custa: 12
 De 80 ate 16,  custa: 0
 De 64 ate 11,  custa: inf
 De 72 ate 19,  custa: inf
 De 16 ate 5,  custa: 3
 De 68 ate 15,  custa: 5
 De 64 ate 12,  custa: 22
 De 80 ate 17,  custa: 15
 De 16 ate 6,  custa: 31
 De 68 ate 16,  custa: 0
 De 72 ate 20,  custa: inf
 De 64 ate 13,  custa: 12
 De 68 ate 17,  custa: 15
 De 16 ate 7,  custa: 26
 De 72 ate 21,  custa: 18
 De 64 ate 14,  custa: 21
 De 80 ate 18,  custa: 19
 De 64 ate 15,  custa: 23
 De 68 ate 18,  custa: 19
 De 72 ate 22,  custa: 23
 De 72 ate 23,  custa: 11
 De 16 ate 8,  custa: inf
 De 64 ate 16,  custa: 0
 De 64 ate 17,  custa: 15
 De 64 ate 18,  custa: 19
 De 72 ate 24,  custa: inf
 De 68 ate 19,  custa: inf
 De 80 ate 19,  custa: inf
 De 16 ate 9,  custa: 38
 De 68 ate 20,  custa: 11
 De 80 ate 20,  custa: inf
 De 64 ate 19,  custa: inf
 De 64 ate 20,  custa: 24
 De 80 ate 21,  custa: inf
 De 16 ate 10,  custa: inf
 De 72 ate 25,  custa: inf
 De 72 ate 26,  custa: 16
 De 68 ate 21,  custa: inf
 De 80 ate 22,  custa: 23
 De 68 ate 22,  custa: inf
 De 72 ate 27,  De 16 ate 11,  custa: inf
 De 64 ate 21,  custa: inf
 custa: inf
 De 68 ate 23,  custa: 25
 De 64 ate 22,  custa: 23
 De 16 ate 12,  custa: inf
 De 72 ate 28,  custa: 1
 De 80 ate 23,  custa: 11
 De 64 ate 23,  custa: inf
 De 16 ate 13,  custa: 31
 De 68 ate 24,  custa: inf
 De 72 ate 29,  custa: inf
 De 64 ate 24,  custa: inf
 De 80 ate 24,  custa: inf
 De 16 ate 14,  custa: 39
 De 64 ate 25,  De 72 ate 30,  custa: 20
 custa: inf
 De 80 ate 25,  De 68 ate 25,  De 84 ate 1, inf
 De 29 ate 60,  custa: 24
 De 57 ate 55,  custa: 19
 De 29 ate 61,  custa: 30
 De 13 ate 28,  custa: inf
 De 13 ate 29,  custa: 7
 De 57 ate 56,  custa: inf
 De 29 ate 62,  custa: 36
 De 29 ate 63,  custa: 20
 De 57 ate 57,  custa: inf
 De 29 ate 64,  custa: 21
 De 57 ate 58,  custa: 16
 De 29 ate 65,  custa: 33
 De 57 ate 59,  custa: 3
 De 29 ate 66,  custa: 13
 De 57 ate 60,  custa: 11
 De 29 ate 67,  custa: 26
 De 29 ate 68,  custa: 7
 De 57 ate 61,  custa: 17
